"case_number","case_type","missing_date","age_missing","gender","race","missing_city","missing_state","missing_zip","vehicle_style","vehicle_color"
1080187,"Non Family Abduction","09/24/2007",1,"Male","Black","Newark","NJ",NA,NA,NA
1090075,"Non Family Abduction","02/27/2008",1,"Male","Biracial","Surprise","AZ",NA,"Truck","Tan"
1094321,"Non Family Abduction","03/27/2008",1,"Female","Black","Oakland","CA",NA,NA,NA
1097287,"Non Family Abduction","06/04/2008",1,"Female","Hispanic","Taft","TX","78390",NA,NA
1099303,"Non Family Abduction","06/26/2008",1,"Male","Black","Birmingham","AL",NA,"Sedan, 4 door","Maroon"
1099408,"Non Family Abduction","06/28/2008",1,"Male","Biracial","Humble","TX","77338","Van","Maroon"
1105391,"Non Family Abduction","09/11/2008",1,"Male","Hispanic","Biloxi","MS","39530","Truck","Blue"
1116207,"Non Family Abduction","02/15/2009",1,"Male","Black","Manhattan","NY","10035",NA,NA
1119451,"Non Family Abduction","03/30/2009",1,"Female","Hispanic","Barry","TX","75102","Sport Utility","Red"
1124604,"Non Family Abduction","06/08/2009",1,"Male","Black","Philadelphia","PA","19104",NA,NA
1146839,"Non Family Abduction","05/05/2010",1,"Female","White","Chicago","IL","60660","Truck","Blue"
1154368,"Non Family Abduction","08/18/2010",1,"Female","Black","Tallahassee","FL","32303","Sedan, 2 door","Silver"
1172720,"Non Family Abduction","05/25/2011",1,"Male","Black","Culver City","CA","90232",NA,NA
1181040,"Non Family Abduction","10/05/2011",1,"Female","Black","Columbia","MD","21045",NA,NA
1187295,"Non Family Abduction","01/12/2012",1,"Male","Black","Houston","TX","77063","Sedan, 4 door","Green"
1189352,"Non Family Abduction","02/18/2012",1,"Female","Black","Cleveland","OH","44127","Van","Green"
1207257,"Non Family Abduction","11/26/2012",1,"Male","Black","Atlanta","GA","30307",NA,NA
1208747,"Non Family Abduction","01/03/2013",1,"Female","Hispanic","Crosbyton","TX","79322",NA,"Red"
1208859,"Non Family Abduction","01/10/2013",1,"Female","White","Bensenville","IL","60106",NA,"Black"
1211666,"Non Family Abduction","03/02/2013",1,"Female","Biracial","Springfield","MO","65803","Sedan, 4 door","Gray"
1216380,"Non Family Abduction","05/22/2013",1,"Female","Black","Forest Park","GA","30297","Sedan, 4 door","Green"
1222021,"Non Family Abduction","08/29/2013",1,"Female","Black","High Point","NC",NA,"Sport Utility","White"
1226747,"Non Family Abduction","12/27/2013",1,"Male","Am. Ind.","Red Springs","NC","28377","Sedan, 4 door","Green"
1232087,"Non Family Abduction","05/10/2014",1,"Female","White","Crossville","TN","38555","Sedan, 4 door","White"
1248370,"Non Family Abduction","05/16/2015",1,"Male","White","Romulus","MI","48174","Sedan, 2 door","Red"
1254509,"Non Family Abduction","09/14/2015",1,"Female","White","Blairmore",NA,NA,"Van","White"
1260666,"Non Family Abduction","01/07/2016",1,"Male","Hispanic","Montebello","CA","90640","Van","Red"
1266643,"Non Family Abduction","04/19/2016",1,"Female","Am. Ind.","Poplar","MT","59255",NA,"Silver"
1269482,"Non Family Abduction","05/23/2016",1,"Female","Hispanic","Los Angeles","CA","90032",NA,NA
1274537,"Non Family Abduction","08/12/2016",1,"Female","White","Great Falls","MT","59405",NA,NA
1288617,"Non Family Abduction","02/03/2017",1,"Female","White","Las Vegas","NV","89122",NA,NA
1292142,"Non Family Abduction","03/23/2017",1,"Male","Hispanic","Cathedral City","CA",NA,"Sedan, 4 door","White"
1314308,"Non Family Abduction","11/22/2017",1,"Male","White","Gastonia","NC","28052",NA,"Brown"
1070983,"Lost Injured Missing","05/14/2007",2,"Male","Hispanic","Denver","CO","80204",NA,NA
1082635,"Lost Injured Missing","10/28/2007",2,"Male","White","Marissa","IL","62257",NA,NA
1082635,"Lost Injured Missing","10/28/2007",2,"Male","White","Marissa","IL","62257",NA,NA
1087099,"Lost Injured Missing","11/13/2007",2,"Female","White","Fenton","MI","48430",NA,NA
